Name,Roll_No,Gender,Subject,Marks,Attendance,Semester
Aman Kumar,23BCA001,M,Math,78,92,1
Aman Kumar,23BCA001,M,Physics,72,92,1
Aman Kumar,23BCA001,M,Chemistry,81,92,1
Nisha Sharma,23BCA002,F,Math,88,95,1
Nisha Sharma,23BCA002,F,Physics,91,95,1
Nisha Sharma,23BCA002,F,Chemistry,85,95,1
Ravi Verma,23BCA003,M,Math,54,68,1
Ravi Verma,23BCA003,M,Physics,47,68,1
Ravi Verma,23BCA003,M,Chemistry,50,68,1
Priya Singh,23BCA004,F,Math,96,98,1
Priya Singh,23BCA004,F,Physics,94,98,1
Priya Singh,23BCA004,F,Chemistry,97,98,1
